sku_id,product_name,category
SKU-00001,Ceramic Coffee Mug,Home & Kitchen
SKU-00002,Ballpoint Pens (10-pack),Office Supplies
SKU-00003,Stainless Steel Water Bottle,Sports & Outdoors
SKU-00004,Multi-Color Sticky Notes (5-pack),Office Supplies
SKU-00005,Wireless Charging Stand,Electronics
SKU-00006,Noise-Cancelling Headphones,Electronics
SKU-00007,Premium Lip Balm,Beauty & Personal Care
SKU-00008,Natural Soy Candle,Home & Kitchen
SKU-00009,Hardcover Notebook,Office Supplies
SKU-00010,LED Desk Lamp,Office Supplies
SKU-00011,Silicone Baking Mats,Home & Kitchen
SKU-00012,Chef's Knife (8-inch),Home & Kitchen
SKU-00013,French Press Coffee Maker,Home & Kitchen
SKU-00014,Digital Food Scale,Home & Kitchen
SKU-00015,Non-Stick Frying Pan,Home & Kitchen
SKU-00016,Oven Mitts (Pair),Home & Kitchen
SKU-00017,Herb Scissors,Home & Kitchen
SKU-00018,Stainless Steel Tea Infuser,Home & Kitchen
SKU-00019,Desk Organizer,Office Supplies
SKU-00020,Dry Erase Markers (4-pack),Office Supplies
SKU-00021,Stapler with Staples,Office Supplies
SKU-00022,Scissors (3-pack),Office Supplies
SKU-00023,File Folders (100-count),Office Supplies
SKU-00024,Paper Shredder,Office Supplies
SKU-00025,Yoga Mat (1/4-inch),Sports & Outdoors
SKU-00026,Resistance Bands (Set of 5),Sports & Outdoors
SKU-00027,Foam Roller,Sports & Outdoors
SKU-00028,Microfiber Travel Towel,Sports & Outdoors
SKU-00029,Running Waist Pack,Sports & Outdoors
SKU-00030,Hydration Backpack,Sports & Outdoors
SKU-00031,Camping Lantern,Sports & Outdoors
SKU-00032,Hiking Socks (3-pack),Sports & Outdoors
SKU-00033,Sleeping Pad,Sports & Outdoors
SKU-00034,Wireless Mouse,Electronics
SKU-00035,Ergonomic Keyboard,Electronics
SKU-00036,USB-C Hub,Electronics
SKU-00037,1080p Webcam,Electronics
SKU-00038,Bluetooth Speaker,Electronics
SKU-00039,Smart Fitness Band,Electronics
SKU-00040,Phone Desk Stand,Electronics
SKU-00041,128GB Flash Drive,Electronics
SKU-00042,Lavender Hand Soap,Beauty & Personal Care
SKU-00043,Tea Tree Shampoo,Beauty & Personal Care
SKU-00044,Moisturizing Face Cream,Beauty & Personal Care
SKU-00045,Bamboo Toothbrush (4-pack),Beauty & Personal Care
SKU-00046,Epsom Bath Salt (3lb),Beauty & Personal Care
SKU-00047,Charcoal Face Mask,Beauty & Personal Care
SKU-00048,Hydrating Body Wash,Beauty & Personal Care
SKU-00049,Hand Cream (Trio),Beauty & Personal Care
SKU-00050,Cotton Swabs (500-count),Beauty & Personal Care
